type,zone_low,zone_high,center_price,touch_count,last_touch_date,score,status
support,501000,525000,513000,6,2025-12-17,0.5346,active
support,791000,808000,801667,5,2026-03-31,0.5201,active
support,1060000,1099000,1079500,4,2026-04-14,0.1827,active
